CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Cyclohexanol, 3,3,5-trimethyl-, 1-acetate",67859-96-5,67859965,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Cyclohexanol, 4-(1,1-dimethylethyl)-",98-52-2,98522,CASRN,"50,000 – <75,000","50,000 – <75,000","50,000 – <75,000","25,000 – <50,000"
"Cyclohexanol, 4-(1,1-dimethylethyl)-, 1-acetate",32210-23-4,32210234,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Cyclohexanol, 4-(1-methylethyl)-, 1-propanoate",63449-95-6,63449956,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Cyclohexanol, 4,4'-(1-methylethylidene)bis-",80-04-6,80046,CASRN,"<50,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-",7786-67-6,7786676,CASRN,"67,412","68,158","80,398","72,145"
"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, (1R,2S,5R)-",89-79-2,89792,CASRN,"15,884","55,788","90,211","85,319"
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-",1490-04-6,1490046,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-",2216-51-5,2216515,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-rel-",89-78-1,89781,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1S,2R,5S)-",15356-60-2,15356602,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","250,000 – <550,000","5,000,000 – <10,000,000"
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, 1-acetate, (1R,2S,5R)-rel-",89-48-5,89485,CASRN,"10,342","7,937","35,654","31,747"
Cyclohexanone,108-94-1,108941,CASRN,"1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000"
"Cyclohexanone, 2-(1-methylpropyl)-",14765-30-1,14765301,CASRN,"8,519,952","8,835,808","9,065,113","9,674,992"
"Cyclohexanone, 3,3,5-trimethyl-",873-94-9,873949,CASRN,"50,000 – <250,000","<50,000","50,000 – <250,000","<50,000"
"Cyclohexanone, 4-(1-ethoxyethenyl)-3,3,5,5-tetramethyl-",36306-87-3,36306873,CASRN,"8,271,356","8,590,420","8,796,026","9,325,467"
"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2R,5R)-rel-",491-07-6,491076,CASRN,104,104,104,0
"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2R,5S)-rel-",89-80-5,89805,CASRN,"1,130","1,184","1,123",387
"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2S,5R)-",14073-97-3,14073973,CASRN,"10,000","11,000","26,000","32,000"
"Cyclohexanone, peroxide",12262-58-7,12262587,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","250,000 – <550,000"
"Cyclohexasiloxane, 2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-",540-97-6,540976,CASRN,"5,500,000 – <7,000,000","5,500,000 – <7,000,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000"
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-",138-86-3,138863,CASRN,"5,500,000 – <7,000,000","8,500,000 – <10,000,000","8,500,000 – <10,000,000","7,000,000 – <8,500,000"
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-",5989-27-5,5989275,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <50,000,000"
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",586-62-9,586629,CASRN,"550,000 – <700,000","700,000 – <850,000","400,000 – <550,000","550,000 – <700,000"
"Cyclohexene, 3-methylene-6-(1-methylethyl)-",555-10-2,555102,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","550,000 – <1,000,000"
"Cyclohexene, 4-(1-methoxy-1-methylethyl)-1-methyl-",14576-08-0,14576080,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","<50,000"
"Cyclohexene, 4-ethenyl-",100-40-3,100403,CASRN,"5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000"
"Cyclooctene, (1Z)-",931-87-3,931873,CASRN,"550,000 – <1,000,000","1,000,000 – <5,000,000","250,000 – <550,000","<50,000"
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",1222-05-5,1222055,CASRN,"4,000,000 – <5,500,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000","2,500,000 – <4,000,000"
Cyclopentadecanone,502-72-7,502727,CASRN,"84,644","124,314","152,010","173,814"
"Cyclopentadecanone, 3-methyl-",541-91-3,541913,CASRN,0,0,0,49
Cyclopentane,287-92-3,287923,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","25,000,000 – <40,000,000","10,000,000 – <25,000,000"
"Cyclopentane, 1,1,2,2,3,3,4-heptafluoro-",15290-77-4,15290774,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Cyclopentane, methoxy-",5614-37-9,5614379,CASRN,"<75,000","<75,000","<75,000","<75,000"
"Cyclopentane, methyl-",96-37-7,96377,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000"
"Cyclopentane, methylene-",1528-30-9,1528309,CASRN,"3,786,901","3,823,528","2,060,610","2,683,031"
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",24851-98-7,24851987,CASRN,"10,000,000 – <25,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000"
"Cyclopentanemethanamine, 2-amino-",21544-02-5,21544025,CASRN,"<75,000","<75,000","<75,000","<75,000"
"Cyclopentanol, 2-pentyl-",84560-00-9,84560009,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Cyclopentanone,120-92-3,120923,CASRN,"5,500,000 – <7,000,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000"
"Cyclopentanone, 2,2,5-trimethyl-5-pentyl-",65443-14-3,65443143,CASRN,0,0,0,21
"Cyclopentanone, 2-[2-(4-methyl-3-cyclohexen-1-yl)propyl]-",95962-14-4,95962144,CASRN,"8,367,914","8,682,320","8,900,079","9,510,187"
"Cyclopentanone, 2-heptyl-",137-03-1,137031,CASRN,"<75,000","75,000 – <500,000","<75,000","<75,000"
"Cyclopentanone, 2-pentyl-",4819-67-4,4819674,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
"Cyclopentasiloxane, 2,2,4,4,6,6,8,8,10,10-decamethyl-",541-02-6,541026,CASRN,"100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000","85,000,000 – <100,000,000"
"Cyclopentasiloxane, 2,4,6,8,10-pentamethyl-",6166-86-5,6166865,CASRN,"50,000 – <250,000","<50,000","50,000 – <250,000","50,000 – <250,000"
Cyclopentene,142-29-0,142290,CASRN,"50,000,000 – <100,000,000","50,000,000 – <100,000,000","50,000,000 – <100,000,000","50,000,000 – <100,000,000"
"Cyclopentene, 1,2,3,3,4,4,5,5-octafluoro-",559-40-0,559400,CASRN,"<50,000","<50,000","<50,000","<50,000"
Cyclopropanamine,765-30-0,765300,CASRN,"<50,000","50,000 – <250,000","<50,000","<50,000"
Cyclopropanecarboxaldehyde,1489-69-6,1489696,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
Cyclopropanemethanol,2516-33-8,2516338,CASRN,"<50,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"Cyclopropanemethanol, 2-(1,4-dimethyl-3-penten-1-yl)-1-methyl-",1655500-83-6,1655500836,CASRN,"8,303,089","8,618,210","8,807,840","9,342,422"
"Cyclotetrasiloxane, 2,2,4,4,6,6,8,8-octamethyl-",556-67-2,556672,CASRN,"250,000,000 – <400,000,000","250,000,000 – <400,000,000","250,000,000 – <400,000,000","100,000,000 – <500,000,000"
"Cyclotetrasiloxane, 2,2,4,4,6,6,8,8-octaphenyl-",546-56-5,546565,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Cyclotetrasiloxane, 2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-",6/5/2554,2554065,CASRN,"400,000 – <550,000","550,000 – <700,000","550,000 – <1,000,000","250,000 – <550,000"
"Cyclotetrasiloxane, 2,4,6,8-tetramethyl-",2370-88-9,2370889,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Cyclotrisiloxane, 2,2,4,4,6,6-hexamethyl-",541-05-9,541059,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000","100,000 – <250,000"
"Cyclotrisiloxane, 2,4,6-triethenyl-2,4,6-trimethyl-",3901-77-7,3901777,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Cyclotrisiloxane, 2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-",2374-14-3,2374143,CASRN,"1,000,000 – <5,000,000","5,500,000 – <7,000,000","2,500,000 – <4,000,000","1,000,000 – <5,000,000"
Decanal,112-31-2,112312,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Decanal, 2-methyl-",19009-56-4,19009564,CASRN,"400,000 – <550,000","550,000 – <700,000","550,000 – <1,000,000","550,000 – <1,000,000"
"Decanamide, N-(2-hydroxypropyl)-",23054-61-7,23054617,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Decanamide, N,N'-1,2-ethanediylbis-",51139-08-3,51139083,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decanamide, N,N-dimethyl-",14433-76-2,14433762,CASRN,"4,000,000 – <5,500,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","2,500,000 – <4,000,000"
"Decanamide, N-[3-(dimethylamino)propyl]-",22890-11-5,22890115,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","550,000 – <1,000,000"
"Decanamide, N-[3-(dimethyloxidoamino)propyl]-",73772-44-8,73772448,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Decanamide, N-hydroxy-",2259-85-0,2259850,CASRN,"<50,000","<50,000","50,000 – <250,000","50,000 – <250,000"
Decane,124-18-5,124185,CASRN,"10,000,000 – <50,000,000","50,000,000 – <100,000,000","50,000,000 – <100,000,000","10,000,000 – <50,000,000"
"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-10-iodo-",423-62-1,423621,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decane, 1-bromo-",112-29-8,112298,CASRN,0,"70,547","35,274",0
"Decanediamide, N1,N10-bis[2-[(1-oxooctadecyl)amino]ethyl]-",60768-10-7,60768107,CASRN,"<50,000","<50,000","50,000 – <250,000","<50,000"
Decanedioic acid,111-20-6,111206,CASRN,"100,000,000 – <500,000,000","50,000,000 – <100,000,000","40,000,000 – <55,000,000","10,000,000 – <25,000,000"
"Decanedioic acid, 1,10-bis(1,2,2,6,6-pentamethyl-4-piperidinyl) ester",41556-26-7,41556267,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000"
"Decanedioic acid, 1,10-bis(2,2,6,6-tetramethyl-4-piperidinyl) ester",52829-07-9,52829079,CASRN,"4,000,000 – <5,500,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000","4,000,000 – <5,500,000"
"Decanedioic acid, 1,10-bis(2,2,6,6-tetramethyl-4-piperidinyl) ester, reaction products with tert-Bu hydroperoxide and octane",129757-67-1,129757671,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","250,000 – <400,000","1,000,000 – <5,000,000"
"Decanedioic acid, 1,10-bis(2-butoxyethyl) ester",141-19-5,141195,CASRN,"<75,000","<75,000","<75,000","<75,000"
"Decanedioic acid, 1,10-bis(2-ethylhexyl) ester",122-62-3,122623,CASRN,"2,500,000 – <4,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Decanedioic acid, 1,10-dibutyl ester",109-43-3,109433,CASRN,"550,000 – <700,000","250,000 – <400,000","400,000 – <550,000","250,000 – <400,000"
"Decanedioic acid, 1,10-didecyl ester",2432-89-5,2432895,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Decanedioic acid, 1,10-diisodecyl ester",28473-19-0,28473190,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","250,000 – <550,000"
"Decanedioic acid, 1-methyl 10-(1,2,2,6,6-pentamethyl-4-piperidinyl) ester",82919-37-7,82919377,CASRN,"400,000 – <550,000","850,000 – <1,000,000","850,000 – <1,000,000","850,000 – <1,000,000"
"Decanedioic acid, compd. with 1,6-hexanediamine (1:1)",6422-99-7,6422997,CASRN,"550,000 – <1,000,000","<50,000","<50,000","<50,000"
"Decanedioic acid, dioctyl ester",2432-87-3,2432873,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"Decanedioic acid, sodium salt (1:2)",17265-14-4,17265144,CASRN,"700,000 – <850,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
Decanoic acid,334-48-5,334485,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","4,000,000 – <5,500,000","2,500,000 – <4,000,000"
"Decanoic acid, ammonium salt (1:1)",16530-70-4,16530704,CASRN,"<75,000","<75,000","75,000 – <500,000","75,000 – <500,000"
"Decanoic acid, ester with 1,2,3-propanetriol octanoate",65381-09-1,65381091,CASRN,"250,000 – <400,000","1,000,000 – <2,500,000","850,000 – <1,000,000","1,000,000 – <2,500,000"
"Decanoic acid, ester with 2,2'-[oxybis(methylene)]bis[2-(hydroxymethyl)-1,3-propanediol] octanoate pentanoate",68130-24-5,68130245,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Decanoic acid, ester with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol octanoate",11138-60-6,11138606,CASRN,"5,500,000 – <7,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Decanoic acid, methyl ester",110-42-9,110429,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000"
"Decanoic acid, mixed diesters with octanoic acid and propylene glycol",68583-51-7,68583517,CASRN,"<25,000","250,000 – <400,000","400,000 – <550,000","400,000 – <550,000"
"Decanoic acid, mixed diesters with octanoic acid and triethylene glycol",68583-52-8,68583528,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Decanoic acid, mixed esters with 2-ethyl-1-hexanol, isodecyl alc. and octanoic acid",68954-22-3,68954223,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Decanoic acid, mixed esters with dipentaerythritol, heptanoic acid and octanoic acid",70851-04-6,70851046,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decanoic acid, mixed esters with dipentaerythritol, octanoic acid and valeric acid",68441-66-7,68441667,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Decanoic acid, mixed esters with heptanoic acid, neopentyl glycol and octanoic acid",70024-75-8,70024758,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decanoic acid, mixed esters with heptanoic acid, octanoic acid and pentaerythritol",68441-67-8,68441678,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","550,000 – <1,000,000"
"Decanoic acid, mixed esters with heptanoic acid, octanoic acid and trimethylolpropane",68130-53-0,68130530,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Decanoic acid, mixed esters with heptanoic acid, octanoic acid, pentaerythritol and valeric acid",71010-76-9,71010769,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","500,000 – <1,000,000","<75,000"
"Decanoic acid, mixed esters with neopentyl glycol and octanoic acid",70693-32-2,70693322,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","<75,000"
"Decanoic acid, mixed esters with octanoic acid and pentaerythritol",68441-68-9,68441689,CASRN,"400,000 – <550,000","400,000 – <550,000","250,000 – <400,000","250,000 – <400,000"
"Decanoic acid, mixed hexaesters with dipentaerythritol, heptanoic acid, octanoic acid and 3,5,5-trimethylhexanoic acid",2640167-40-2,2640167402,CASRN,"850,000 – <1,000,000","850,000 – <1,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Decanoic acid, mixed monoesters with decaglycerol and octanoic acid",68937-16-6,68937166,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decanoic acid, mixed tetraesters with 2-ethylhexanoic acid, octanoic acid, pentaerythritol and valeric acid",2416223-28-2,2416223282,CASRN,"250,000 – <550,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Decanoic acid, mixed tetraesters with heptanoic acid, 2-methylbutanoic acid, octanoic acid, pentaerythritol, 3,5,5-trimethylhexanoic acid and valeric acid",141686-49-9,141686499,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"Decanoic acid, mixed tetraesters with heptanoic acid, isononanoic acid, octanoic acid and pentaerythritol",1078142-24-1,1078142241,CASRN,"550,000 – <1,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000","1,000,000 – <5,000,000"
"Decanoic acid, mixed triesters with heptanoic acid, 2-methylbutanoic acid, octanoic acid, 3,5,5-trimethylhexanoic acid, trimethylolpropane and valeric acid",141686-50-2,141686502,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Decanoic acid, monoester with 1,2,3-propanetriol",26402-22-2,26402222,CASRN,"20,438","31,397","43,022","27,825"
"Decanoic acid, potassium salt (1:1)",13040-18-1,13040181,CASRN,0,"92,000","637,000","323,000"
"Decanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol and octanoic acid",68815-24-7,68815247,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"Decene, branched and linear",833482-31-8,833482318,CASRN,"25,000,000 – <75,000,000","25,000,000 – <75,000,000","25,000,000 – <75,000,000","25,000,000 – <75,000,000"
"Decene, hydroformylation products",68516-18-7,68516187,CASRN,"53,025","66,174","85,614","56,419"
Depolymerized waste plastics (PROVISIONAL),262954,262954,Accession Number,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
Derivative of a fatty amido amine (PROVISIONAL),151270,151270,Accession Number,"250,000 – <400,000","100,000 – <250,000","400,000 – <550,000","250,000 – <400,000"
Derivative of a modified alkali lignin reaction product (PROVISIONAL),145063,145063,Accession Number,"700,000 – <850,000","700,000 – <850,000","700,000 – <850,000","850,000 – <1,000,000"
Derivative of a modified tall oil polyalkylenepolyamine (PROVISIONAL),166677,166677,Accession Number,"4,000,000 – <5,500,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000","2,500,000 – <4,000,000"
Derivative of substituted carbomonocyclic acid-amine distillation stream by-product reaction product,173876,173876,Accession Number,"700,000 – <850,000","700,000 – <850,000","700,000 – <850,000","550,000 – <700,000"
"D-erythro-Hex-2-enonic acid, .gamma.-lactone",89-65-6,89656,CASRN,"400,000 – <550,000","550,000 – <1,000,000","400,000 – <550,000","400,000 – <550,000"
"D-erythro-Hex-2-enonic acid, .gamma.-lactone, sodium salt (1:1)",6381-77-7,6381777,CASRN,"1,000,000 – <2,500,000","700,000 – <850,000","400,000 – <550,000","850,000 – <1,000,000"
D-Fructose,57-48-7,57487,CASRN,"50,000,000 – <100,000,000","25,000,000 – <40,000,000","40,000,000 – <55,000,000","500,000,000 – <1,000,000,000"
D-Glucitol,50-70-4,50704,CASRN,"55,000,000 – <70,000,000","55,000,000 – <70,000,000","55,000,000 – <70,000,000","40,000,000 – <55,000,000"
"D-Glucitol, 1,3:2,4-bis-O-[(3,4-dimethylphenyl)methylene]-",135861-56-2,135861562,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"D-Glucitol, 1,4:3,6-dianhydro-",652-67-5,652675,CASRN,"80,993","118,277","444,894","190,753"
"D-Glucitol, 1,4:3,6-dianhydro-2,5-di-O-methyl-",5306-85-4,5306854,CASRN,"305,816","502,162","557,366","340,971"
"D-Glucitol, 1-deoxy-1-(methylamino)-",6284-40-8,6284408,CASRN,"125,957","241,524","252,494","143,189"
"D-Glucitol, 1-deoxy-1-(methylamino)-, N-(C16-18 and C18-unsatd. acyl) derivs.",1591782-99-8,1591782998,CASRN,"6,756","4,222","5,911","4,433"
"D-Glucitol, 1-deoxy-1-(methylamino)-, N-C8-10 acyl derivs.",1591782-62-5,1591782625,CASRN,"244,659","847,496","676,203","262,302"
"D-Glucitol, 1-deoxy-1-(methylamino)-, N-coco acyl derivs.",1591783-13-9,1591783139,CASRN,0,"3,182","61,725","24,022"
"D-Glucitol, 4-O-.alpha.-D-glucopyranosyl-",585-88-6,585886,CASRN,"3,021,963","4,504,951","3,845,414","3,383,000"
"D-Glucitol, reaction products with epichlorohydrin",68412-01-1,68412011,CASRN,"<25,000","100,000 – <250,000","50,000 – <75,000","100,000 – <250,000"
"D-gluco-Heptonic acid, sodium salt (1:1), (2.xi.)-",31138-65-5,31138655,CASRN,"14,443,167","14,526,343","11,659,448","10,317,885"
D-Gluconic acid,526-95-4,526954,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"D-Gluconic acid, .delta.-lactone",90-80-2,90802,CASRN,"3,750,236","4,124,048","4,439,127","3,657,983"
"D-Gluconic acid, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)",42728-79-0,42728790,CASRN,"211,638","165,737","132,835","80,557"
"D-Gluconic acid, compd. with N1,N14-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediimidamide (2:1)",18472-51-0,18472510,CASRN,0,0,"298,000","53,700"
"D-Gluconic acid, potassium salt (1:1)",299-27-4,299274,CASRN,"50,000 – <75,000","75,000 – <100,000","75,000 – <100,000","100,000 – <250,000"
"D-Gluconic acid, sodium salt (1:1)",527-07-1,527071,CASRN,"50,000,000 – <100,000,000","70,000,000 – <85,000,000","50,000,000 – <100,000,000","50,000,000 – <100,000,000"
"D-Glucopyranose, 2-O-.beta.-D-glucopyranosyl-",20429-79-2,20429792,CASRN,"500,000 – <1,000,000","500,000 – <1,000,000","1,000,000 – <8,500,000","500,000 – <1,000,000"
"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",161074-93-7,161074937,CASRN,"75,000 – <500,000","<75,000","<75,000","<75,000"
"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides",110615-47-9,110615479,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides, 2-hydroxy-3-sulfopropyl ethers, sodium salts",742087-49-6,742087496,CASRN,"856,465","1,448,083","1,473,938","1,322,839"
"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides, carboxymethyl ethers, sodium salts",383178-66-3,383178663,CASRN,"<50,000","<50,000","<50,000","<50,000"
"D-Glucopyranose, oligomeric, C9-11-alkyl glycosides",132778-08-6,132778086,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"D-Glucopyranose, oligomeric, decyl octyl glycosides",68515-73-1,68515731,CASRN,"10,000,000 – <25,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"D-Glucopyranoside, hexyl",54549-24-5,54549245,CASRN,"<25,000","400,000 – <550,000","25,000 – <50,000","25,000 – <50,000"
"D-Glucopyranoside, methyl",3149-68-6,3149686,CASRN,"550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
"D-Glucopyranoside, methyl, 2,6-di-(9Z)-9-octadecenoate",82933-91-3,82933913,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","250,000 – <550,000"
"D-Glucopyranoside, undecyl",98283-67-1,98283671,CASRN,"<50,000","<50,000","<50,000","<50,000"
D-Glucose,50-99-7,50997,CASRN,"400,000,000 – <550,000,000","400,000,000 – <550,000,000","400,000,000 – <550,000,000","550,000,000 – <700,000,000"
"D-Glucose, 4-O-.alpha.-D-glucopyranosyl-",69-79-4,69794,CASRN,"<50,000","<50,000","50,000 – <250,000","<50,000"
"D-Glucose, reaction products with lithium hydroxide and 2-methyl-5-nitrobenzenesulfonic acid",80146-17-4,80146174,CASRN,"<50,000","<50,000","250,000 – <550,000","250,000 – <550,000"
"D-Glucose, Streptomyces albulus-fermented, L-lysine homopolymer",918309-39-4,918309394,CASRN,266,"<50,000","<50,000","<50,000"
"D-Glucuronic acid, .gamma.-lactone",32449-92-6,32449926,CASRN,0,"42,900",0,0
"D-Glucurono-D-gluco-6-deoxy-L-mannan, acetate, calcium magnesium potassium sodium salt",595585-15-2,595585152,CASRN,"116,187","244,054","270,672","265,869"
"D-glycero-D-gulo-Heptonic acid, sodium salt (1:1)",13007-85-7,13007857,CASRN,"961,056","1,478,349","1,226,384","550,770"
"Di(alkanepolyol)ether, polyacrylate (PROVISIONAL)",141947,141947,Accession Number,"<50,000","50,000 – <250,000","<50,000","<50,000"
Dialkyl fattyalkylamino propanamide alkylamine (PROVISIONAL),189481,189481,Accession Number,0,"50,000 – <250,000","<50,000","<50,000"
Dialkyl formamide (PROVISIONAL),195541,195541,Accession Number,"<50,000","<50,000","<50,000","<50,000"
Diamine substituted arylimidazole (PROVISIONAL),211428,211428,Accession Number,"<75,000","<75,000","<75,000","<75,000"
Diammonium salt of phosphate methacrylate (PROVISIONAL),190353,190353,Accession Number,"<50,000","<50,000","<50,000","<50,000"
Diamond,7782-40-3,7782403,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
Dibasic acid ester (PROVISIONAL),261520,261520,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Dibenz[a,h]anthracene",53-70-3,53703,CASRN,"200,233","174,922","272,657","191,927"
"Dibenzo[d,f][1,3,2]dioxaphosphepin, 6-chloro-",16611-68-0,16611680,CASRN,"<50,000","<50,000","<50,000","<50,000"
