CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Phenol, bis(1-methylpropyl)-",31291-60-8,31291608,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phenol, bis(1-phenylethyl)-",25640-70-4,25640704,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
"Phenol, butenylated, aminated",78330-13-9,78330139,CASRN,"250,000 – <550,000","1,000,000 – <5,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
"Phenol, C18-30-alkyl derivs.",68784-24-7,68784247,CASRN,"<50,000","<50,000","50,000 – <250,000","550,000 – <1,000,000"
"Phenol, compd. with 2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine (1:1)",57671-19-9,57671199,CASRN,"<50,000","50,000 – <250,000","<50,000","<50,000"
"Phenol, dimethyl-",1300-71-6,1300716,CASRN,"25,221","27,513","28,477","18,342"
"Phenol, dimethyl-, 1,1',1''-phosphate",25155-23-1,25155231,CASRN,"1,000,000 – <8,500,000","500,000 – <1,000,000","500,000 – <1,000,000","1,000,000 – <8,500,000"
"Phenol, dinonyl-",1323-65-5,1323655,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Phenol, dinonyl-, branched",84962-08-3,84962083,CASRN,"550,000 – <1,000,000","550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phenol, dioctyl-",29988-16-7,29988167,CASRN,"748,549","875,760","982,436","853,341"
"Phenol, dipentyl-, 1,1'-(hydrogen phosphate)",64051-38-3,64051383,CASRN,"<50,000","50,000 – <250,000","<50,000","<50,000"
"Phenol, dodecyl-",27193-86-8,27193868,CASRN,"<75,000","<75,000","<75,000","<75,000"
"Phenol, dodecyl-, sulfurized, calcium salts",68855-45-8,68855458,CASRN,"5,000,000 – <10,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"Phenol, dodecyl-, sulfurized, carbonates, calcium salts, overbased",68784-26-9,68784269,CASRN,"1,000,000 – <5,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000"
"Phenol, heptyl derivs.",72624-02-3,72624023,CASRN,"550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phenol, hexadecyl-, branched and linear",1423681-67-7,1423681677,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phenol, isobutylenated methylstyrenated",68457-74-9,68457749,CASRN,"2,282,577","2,571,370","1,365,581","2,012,769"
"Phenol, isobutylenated, phosphate (3:1)",68937-40-6,68937406,CASRN,"250,000 – <400,000","400,000 – <550,000","550,000 – <700,000","100,000 – <250,000"
"Phenol, isopropylated, phosphate (3:1)",68937-41-7,68937417,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","100,000 – <250,000"
"Phenol, methyl-",1319-77-3,1319773,CASRN,"10,045,000","17,045,000","15,047,000","13,039,000"
"Phenol, methylstyrenated",68512-30-1,68512301,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phenol, mono-C24-28-sec-alkyl derivs.",1333248-54-6,1333248546,CASRN,"550,000 – <1,000,000","550,000 – <1,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000"
"Phenol, nonyl-",25154-52-3,25154523,CASRN,"75,000 – <500,000","<75,000","75,000 – <500,000","75,000 – <500,000"
"Phenol, nonyl-, 1,1',1''-phosphite",26523-78-4,26523784,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000"
"Phenol, nonyl-, barium salt (2:1)",28987-17-9,28987179,CASRN,"250,000 – <400,000","250,000 – <400,000","400,000 – <550,000","400,000 – <550,000"
"Phenol, octadecyl-, branched and linear",1423682-41-0,1423682410,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phenol, polymer with ar,ar'-bis(chloromethyl)-1,1'-biphenyl, glycidyl ethers",214786-98-8,214786988,CASRN,"2,999",857,334,286
"Phenol, polymer with ethenylbenzene and (1-methylethenyl)benzene",77939-50-5,77939505,CASRN,772,"8,751",0,0
"Phenol, reaction products with TDI",68610-59-3,68610593,CASRN,"168,000","168,000","168,671","135,906"
"Phenol, styrenated",61788-44-1,61788441,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"Phenol, styrenated, reaction products with polyethylene glycol and 2-[(2-propen-1-yloxy)methyl]oxirane",1539128-27-2,1539128272,CASRN,"7,802",0,0,0
"Phenol, tetrapropylene-, sulfurized, calcium salts",122384-85-4,122384854,CASRN,"<25,000","<25,000","400,000 – <550,000","400,000 – <550,000"
"Phenol, tetrapropylene-, sulfurized, carbonates, calcium salts, overbased",122384-87-6,122384876,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
Phenol-formaldehyde polymer with amino-oxirane copolymer and benzoates,300619,300619,Accession Number,"<75,000","<75,000","<75,000","<75,000"
"Phosphate rock and Phosphorite, calcined",65996-94-3,65996943,CASRN,"4,080,168,000","3,289,430,000","4,345,140,000","3,866,926,000"
"Phosphate(1-), hexafluoro-, lithium (1:1)",21324-40-3,21324403,CASRN,"10,000,000 – <25,000,000","8,500,000 – <10,000,000","4,000,000 – <5,500,000","1,000,000 – <5,000,000"
Phosphine,7803-51-2,7803512,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phosphine oxide, dihexyloctyl-",31160-64-2,31160642,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phosphine oxide, hexyldioctyl-",31160-66-4,31160664,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phosphine, tributyl-",998-40-3,998403,CASRN,"50,000 – <250,000","<50,000","<50,000","<50,000"
"Phosphine, trioctyl-",4731-53-7,4731537,CASRN,"50,000 – <250,000","250,000 – <550,000","250,000 – <550,000","<50,000"
"Phosphine, triphenyl-",603-35-0,603350,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","850,000 – <1,000,000"
Phosphinic acid,6303-21-5,6303215,CASRN,"234,114","262,643","293,056","130,996"
"Phosphinic acid, calcium salt (2:1)",7789-79-9,7789799,CASRN,"34,171","22,531","485,001","99,200"
"Phosphinic acid, manganese(2+) salt, monohydrate",7783-16-6,7783166,CASRN,"9,079","18,000","16,200","10,800"
"Phosphinic acid, P,P-bis(2,4,4-trimethylpentyl)-",83411-71-6,83411716,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phosphinic acid, P,P-diethyl-, aluminum salt (3:1)",225789-38-8,225789388,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phosphinic acid, P,P-diethyl-, zinc salt (2:1)",284685-45-6,284685456,CASRN,"24,912","41,887","22,046","14,330"
"Phosphinic acid, P-[3-(acetyloxy)-3-cyanopropyl]-P-methyl-, butyl ester",167004-78-6,167004786,CASRN,"<50,000","<50,000","550,000 – <1,000,000","10,000,000 – <50,000,000"
"Phosphinic acid, P-methyl-, butyl ester",6172-80-1,6172801,CASRN,0,0,0,"5,000,000 – <10,000,000"
"Phosphinic acid, P-phenyl-",1779-48-2,1779482,CASRN,"135,119","270,239","217,092","421,953"
